Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image
Darshan Singh,@bearishtomar,2023-09-21T23:54:12.000Z,True,"Don't know if I should be happy or sad I wanted to carry 10 puts but carried only 2, should I be happy that I tried to follow risk management or sad that I could have made a lot more#nifty50  #nifty #NiftyBank  #banknifty  #StockMarket  #options #OptionsTrading  #optionbuying",0,0,4,591,"['#nifty50', '#nifty', '#NiftyBank', '#banknifty', '#StockMarket', '#options', '#OptionsTrading', '#optionbuying']",[],[],https://pbs.twimg.com/profile_images/1693016028370931713/Gugq-Brk_normal.jpg
Manish Singh,@ManishNifty,2023-09-21T23:50:49.000Z,True,Charts pe pattern Khoj rahe hai log  Aur Patterns bol mai Charts mein apna jagah khoj raha hoon  kahi toh Fit kar do mujhe#StockMarketindia #stockmarketnews #nifty50 #NiftyBank,22,3,130,"6,267","['#StockMarketindia', '#stockmarketnews', '#nifty50', '#NiftyBank']",[],"['\\U0001f600', '\\U0001f923']",https://pbs.twimg.com/profile_images/1341815302384799744/Hz6dqFr2_normal.jpg
Jitesh Kumar,@jitesht8687,2023-09-21T23:50:29.000Z,True,Correction not stop yet #nifty50 #NiftyBank #NiftyFifty,0,0,2,77,"['#nifty50', '#NiftyBank', '#NiftyFifty']",[],['\\U0001f614'],https://pbs.twimg.com/profile_images/1670135684966010883/W_zLR25i_normal.jpg
Vijay,@hiwistler,2023-09-21T23:38:58.000Z,False,"Trade Setup for September 22: #nifty50  , Nifty Bank may see their worst week in over seven monthsWhat experts think!",1,1,0,84,['#nifty50'],[],['\\u2705'],https://pbs.twimg.com/profile_images/1622693603930738708/HS2xdKXE_normal.jpg
sunil,@kksunil53,2023-09-21T23:30:30.000Z,False,#nifty50 #Nifty #NiftyFifty may go down to 19500 levels,0,0,0,89,"['#nifty50', '#Nifty', '#NiftyFifty']",[],[],https://pbs.twimg.com/profile_images/1519840110690328576/ijbYuao7_normal.jpg
Vibrant Soul,@VibrantSoul999,2023-09-21T23:06:18.000Z,False,"#nifty50 #BankNiftyOptions #NSE #cac #DAX #FTSE100 

Sell away & save your money.",0,0,0,38,"['#nifty50', '#BankNiftyOptions', '#NSE', '#cac', '#DAX', '#FTSE100']",[],"['\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1704565856330727424/Y-7vJQHE_normal.jpg
Nifty50+,@queenmiserable,2023-09-21T22:38:29.000Z,False,This wreaks of so much BS.  September 2024 really!,0,0,2,107,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-21T22:37:10.000Z,False,Legend. Saw him live a few years back was an excellent show,0,0,1,84,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-21T22:36:40.000Z,False,"まさきさん、ありがとうございます精進します(  . .)""",0,0,1,68,[],[],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Nifty50+,@queenmiserable,2023-09-21T22:34:42.000Z,False,It's so disheartening,0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Stocks Chart house,@DChart_House,2023-09-21T22:26:45.000Z,False,One trade is enough#banknifty #BankNiftyOptions #Optionselling #sail #cdsl #nmdc #pnb #nifty50 #StocksInNews,0,0,5,577,"['#banknifty', '#BankNiftyOptions', '#Optionselling', '#sail', '#cdsl', '#nmdc', '#pnb', '#nifty50', '#StocksInNews']",[],[],https://pbs.twimg.com/profile_images/1693360451038691328/Hh_txbdz_normal.jpg
Nifty50+,@queenmiserable,2023-09-21T22:21:31.000Z,False,This blazer  has on is gorgeous,0,0,0,43,[],['@AlisonHammond'],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-21T22:20:35.000Z,False,The fabulous ,1,5,9,194,[],['@MissyElliott'],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-21T22:01:15.000Z,False,kazuさん、ありがとう(*´³`*) ㄘゅ,0,0,1,53,[],[],['\\U0001f495'],https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-21T22:00:32.000Z,False,煩悩の戦略家さん。ありがとうございます ,0,0,1,53,[],[],"['\\U0001f3e0', '\\U0001f64f', '\\u2728']",https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
