Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image
Nifty Today,@nifty50today,2023-09-28T23:55:00.000Z,False,#trading #Motivation,0,0,1,60,"['#trading', '#Motivation']",[],[],https://pbs.twimg.com/profile_images/1695454711292346368/VKi_Yw5p_normal.jpg
Sanjay_,@sanjaypatidar27,2023-09-28T22:35:57.000Z,False,"#NIFTY50 great fall in nifty, but will it continue falling ? 
The thing is it took a support at its wedge lower range and it should rest a bit for 1-2 sessions then it should decide its further move. 

Sharp Recovery or fall  it wil... #frontpage_app",0,0,1,81,"['#NIFTY50', '#frontpage_app']",[],[],https://pbs.twimg.com/profile_images/1620003976883363840/czc9i8Dp_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-28T21:41:12.000Z,False,たけのっこさん、復活を祈ります(｡-人-｡),1,0,1,92,[],[],[],https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Nifty50+,@queenmiserable,2023-09-28T21:17:55.000Z,False,Naaaahhh this is too funny ,0,0,0,57,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-28T21:13:10.000Z,False,Both so gorgeous,0,0,0,138,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-28T21:12:52.000Z,False,A forced apology is never sincere.  It's to save face.,0,3,140,"3,034",[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-28T21:10:53.000Z,False,"今朝モーサテより
大幅な賃金上昇が株価を押し上げ専門家の予想では2024年は平均3パーセントほどの賃上げが見込まれるとのこと良いインフレに繋がって欲しい",1,1,129,"3,491",[],[],"['\\u203c\\ufe0f', '\\u203c\\ufe0f', '\\U0001f60d']",https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Nifty50+,@queenmiserable,2023-09-28T21:10:09.000Z,False,"People always jumping wanting  be the first in the know... Lo it!

This ....",0,0,0,314,[],[],"['\\U0001f447\\U0001f3fd', '\\U0001f447\\U0001f3fd', '\\U0001f447\\U0001f3fd']",https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-28T21:05:31.000Z,False,They're bon bons in wrappers.  As a kid they weren't in wrappers,0,0,1,21,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-28T21:04:05.000Z,False,Exactly this,0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
Nifty50+,@queenmiserable,2023-09-28T21:02:19.000Z,False,"I agree.  Some ministers are just taking up space and doing nothing. They like the social status  of being a minister, but so nothing  But if a minister etc is doing good by their constituents then they should stay",0,0,0,69,[],[],[],https://pbs.twimg.com/profile_images/1704034813022203904/BmykoqfZ_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-28T20:55:30.000Z,False,"mattuさん、おはようございます(*^o^*)
三菱UFJもINPEXも上昇可能性高い銘柄なので上昇信じましょう！",0,0,1,172,[],[],[],https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
bull,@thebullrunbegun,2023-09-28T20:54:17.000Z,False,21000 incoming #nifty50,0,0,1,51,['#nifty50'],[],[],https://pbs.twimg.com/profile_images/1707067543939338240/qObuSFiP_normal.jpg
シンチャオ︰三菱UFJ全力少年(Lv35),@Nifty50JEPI1489,2023-09-28T20:53:09.000Z,False,"おはよう9月29日今日は何の日 
▼横浜に初のガス灯（1872）
▼富士ゼロックス初の国産電子複写機を完成。コピー時代到来（1962）
▼日中共同声明に調印（1972）
▼ベーブ・ルース、大リーグ年間最多ホームラン新記録を樹立となる60号ホーマーを打つ（1927年）

今日も笑顔で",0,0,83,"2,178",[],[],"['\\U0001f60c', '\\U0001f60c']",https://pbs.twimg.com/profile_images/1613035622637400064/aCQEOj87_normal.jpg
Profitkhoj,@profitkhoj,2023-09-28T20:35:07.000Z,False,"#niftyOptions  , #finnifty    and #BankNiftyOptions   EOD Market data analysis and prediction for 29-Sept- 2023 #TRADINGTIPS #optionbuying #OptionsTrading #Optionselling #OptionChain #fno #futurestrading #nifty50",1,0,2,274,"['#niftyOptions', '#finnifty', '#BankNiftyOptions', '#TRADINGTIPS', '#optionbuying', '#OptionsTrading', '#Optionselling', '#OptionChain', '#fno', '#futurestrading', '#nifty50']",[],[],https://pbs.twimg.com/profile_images/1265730446744342529/6G1mL4mA_normal.jpg
Vijay,@hiwistler,2023-09-28T20:33:23.000Z,False,"   The following shows the date - 
Sept 28, 2023 8:24:20 PM IST (Updated)Is this article for Sept 28th or for Sept 29th?

Trade Setup for September 28: Nifty 50 set for second straight weekly loss unless it closes above this level",0,0,0,16,[],['@CNBCTV18Live'],['\\U0001f6d1'],https://pbs.twimg.com/profile_images/1622693603930738708/HS2xdKXE_normal.jpg
TradewithEdge,@TradewithPd,2023-09-28T20:28:01.000Z,True,"#NYKAA  (D) 

Buy Above 155-158 (Close must)
SL 138.

Charts are for educational purposes.
We are not Sebi RA.#StockMarketindia #BREAKOUTSTOCKS #SwingTrading #intradaytrading #StocksToBuy #stocktotrack #bse #nifty50 #niftyOptions #banknifty",0,0,2,314,"['#NYKAA', '#StockMarketindia', '#BREAKOUTSTOCKS', '#SwingTrading', '#intradaytrading', '#StocksToBuy', '#stocktotrack', '#bse', '#nifty50', '#niftyOptions', '#banknifty']",[],[],https://pbs.twimg.com/profile_images/1689519542454845440/NLIQz7p8_normal.jpg
